id,english,telugu
4749,I don't like movies.,నాకు సినిమాలు నచ్చవు.
4750,I didn't ask for money.,నేను డబ్బు అడగలేదు.
4751,Give me back my bag.,నా బ్యాగ్ తిరిగి ఇవ్వండి.
4752,I want a single room.,నాకు ఒకే గది కావాలి.
4753,Please don't panic.,దయచేసి భయపడవద్దు.
4754,Tell me the truth at once.,ఒకేసారి నిజం చెప్పు.
4755,I have a very good memory.,నాకు చాలా మంచి జ్ఞాపకం ఉంది.
4756,Tell me when you're done.,మీరు పూర్తి చేసినప్పుడు చెప్పు.
4757,I don't know what motivated me to come here.,ఇక్కడికి రావడానికి నన్ను ప్రేరేపించిన విషయం నాకు తెలియదు.
4758,Give me some time.,నాకు కొంచెం సమయం కావాలి.
4759,I'm going to ask your daughter to marry me.,నన్ను వివాహం చేసుకోమని మీ కుమార్తెను అడగబోతున్నాను.
4760,We have a big supermarket.,మాకు పెద్ద సూపర్ మార్కెట్ ఉంది.
4761,I've decided that we won't go.,నేను వెళ్ళను అని నిర్ణయించుకున్నాను.
4762,I'm not going to be afraid anymore.,నేను ఇక భయపడను.
4763,I didn't know you were a doctor.,మీరు డాక్టర్ అని నాకు తెలియదు.
4764,Would you like to live forever?,మీరు ఎప్పటికీ జీవించాలనుకుంటున్నారా?
4765,I like big cities.,నాకు పెద్ద నగరాలు ఇష్టం.
4766,Don't worry about my dog.,నా కుక్క గురించి చింతించకండి.
4767,You're charming today.,మీరు ఈ రోజు మనోహరంగా ఉన్నారు.
4768,Can you open this door?,మీరు ఈ తలుపు తెరవగలరా?
4769,Please keep your cynical remarks to yourself.,దయచేసి మీ విరక్త వ్యాఖ్యలను మీరే ఉంచండి.
4770,I know an English language instructor who comes from Canada.,కెనడా నుండి వచ్చిన ఆంగ్ల భాషా బోధకుడు నాకు తెలుసు.
4771,It is stipulated that we should receive a month's vacation every year.,మేము ప్రతి సంవత్సరం ఒక నెల సెలవు పొందాలని నిర్దేశించబడింది.
4772,I've said this many times.,నేను చాలాసార్లు చెప్పాను.
4773,I've got a sandwich.,నాకు శాండ్‌విచ్ వచ్చింది.
4774,You're going to like it.,మీరు దీన్ని ఇష్టపడతారు.
4775,I think I need braces.,నాకు కలుపులు అవసరమని అనుకుంటున్నాను.
4776,I think it'll rain this afternoon.,ఈ మధ్యాహ్నం వర్షం పడుతుందని అనుకుంటున్నాను.
4777,There are so many things to tell you that I don't know where to start.,ఎక్కడ చెప్పాలో నాకు తెలియదని మీకు చెప్పడానికి చాలా విషయాలు ఉన్నాయి.
4778,I want to know why this happened.,ఇది ఎందుకు జరిగిందో తెలుసుకోవాలనుకుంటున్నాను.
4779,Don't show that to children.,దానిని పిల్లలకు చూపించవద్దు.
4780,I don't drink milk anymore.,నేను ఇక పాలు తాగను.
4781,Please give me a spool of white thread.,దయచేసి నాకు తెల్లటి దారం యొక్క స్పూల్ ఇవ్వండి.
4782,I have a lot of work to clear up by the weekend.,వారాంతంలో క్లియర్ చేయడానికి నాకు చాలా పని ఉంది.
4783,I think you've got problems.,మీకు సమస్యలు ఉన్నాయని నేను భావిస్తున్నాను.
4784,Please speak in French.,దయచేసి ఫ్రెంచ్ భాషలో మాట్లాడండి.
4785,I'm not going to complain.,నేను ఫిర్యాదు చేయను.
4786,I've never had much money.,నా దగ్గర ఎప్పుడూ ఎక్కువ డబ్బు లేదు.
4787,Can you close the door?,మీరు తలుపు మూసివేయగలరా?
4788,You're careless.,మీరు అజాగ్రత్తగా ఉన్నారు.
